Dataset,Paper Title,Year,Publisher,Description,Indoor/Outdoor,Tasks,No. Papers,No. Benchmarks,Last Check
KITTI,Are we ready for autonomous driving? The KITTI vision benchmark suite,2012,CVPR,one of the most popular datasets for use in mobile robotics and autonomous driving,outdoor,(3D) Object Detection; Semantic Segmentation; Pose Estimation; Object Tracking; Image Super-Resolution; Image-to-Image Translation; Image Clustering; Depth Estimation; Object Localization; Visual Place Recognition; Panoptic Segmentation; Point Cloud Registration...,3532,141,2025-02-27
KITTI-360,KITTI-360: A Novel Dataset and Benchmarks for Urban Scene Understanding in 2D and 3D,2023,TPAMI,large-scale dataset that contains rich sensory information and full annotations; successor of the popular KITTI dataset; providing more comprehensive semantic/instance labels in 2D and 3D; richer 360 degree sensory information (fisheye images and pushbroom laser scans);  accurate and geo-localized vehicle and camera poses; and a series of new challenging benchmarks,outdoor,(2D / 3D) Semantic Segmentation; (3D) Instance Segmentation; Panoptic Segmentation; Novel View Synthesis; 3D Semantic Scene Completion; 3D Object Detection From Monocular Images; 3D Semantic Scene Completion from a single RGB image; Weakly Supervised 3D Detection; Semantic SLAM,219,7,2025-02-27
KITTI-C,Robo3D: Towards Robust and Reliable 3D Perception against Corruptions,2023,ICCV,KITTI + simulated physically-principled corruptions on the val set; corruptions: 1) Severe weather conditions: fog; rain; snow -> back-scattering; attenuation; reflections; 2) External disturbances: bumpy surfaces; dust; insects... -> motion blur; LiDAR beam missing issues; 3) Internal sensor failure: incomplete echo; miss detection of instances with a dark color (e.g.; black car); crosstalk among multiple sensors -> deteriorates the 3D perception accuracy,outdoor,(Robust) 3D Object Detection; Unsupervised Monocular Depth Estimation,26,2,2025-02-27
KITTI-Depth,Sparsity Invariant CNNs,2017,3DV,The KITTI-Depth dataset includes depth maps from projected LiDAR point clouds that were matched against the depth estimation from the stereo cameras,outdoor,Depth Estimation; Autonomous Driving; Depth Completion,14,0,2025-02-27
L-CAS 3D Point Cloud People,Online Learning for Human Classification in 3D LiDAR-based Tracking,2017,IROS,3D LiDAR dataset of people moving in a large indoor public space; which is made available to the research community,indoor,Human Detection and Tracking,1,0,2025-02-27
Lani,Mapping Instructions to Actions in 3D Environments with Visual Goal Prediction,2018,EMNLP,3D navigation environment and corpus; where an agent navigates between landmarks,other,Continuous Control; Starcraft; Starcraft II,11,0,2025-02-27
LiDAR-MOS,Moving Object Segmentation in 3D LiDAR Data: A Learning-based Approach Exploiting Sequential Data,2021,RA-L,moving object segmentation from 3D LiDAR scans,outdoor,3D Semantic Segmentation; 3D Part Segmentation; Moving Point Cloud Processing,6,0,2025-02-27
Light Snowfall (DENSE),Seeing Through Fog Without Seeing Fog: Deep Multimodal Sensor Fusion in Unseen Adverse Weather,2020,CVPR,object detection dataset in challenging adverse weather conditions,outdoor,(3D) Object Detection ,2,1,2025-02-27
LiPC,3D ToF LiDAR in Mobile Robotics: A Review,2022,arXiv,benchmark suite for point cloud clustering algorithms based on open-source software and open datasets,outdoor,object detection; robot localization; long-term autonomy; LiDAR data processing under adverse weather conditions; sensor fusion; service robots; assisted and autonomous driving,1,0,2025-02-27
LINEMOD,Model Based Training; Detection and Pose Estimation of Texture-Less 3D Objects in Heavily Cluttered Scenes,2012,ACCV,The LM (Linemod) dataset is a valuable resource introduced by Stefan Hinterstoisser and colleagues in their research on model-based training; detection; and pose estimation of texture-less 3D objects in heavily cluttered scenes,other,Domain Adaption; 6D Pose Estimation (using RGB / RGBD),34,5,2025-02-27
M2DGR,M2DGR: A Multi-sensor and Multi-scenario SLAM Dataset for Ground Robots,2021,RA-L,multi-sensor dataset focusing on ground robots’ localization and mapping tasks;  indoors and outdoors; complete sensor suite; including 6 surround-view fish-eye cameras; a sky-pointing fish-eye camera; a perspective color camera; an event camera; an infrared camera; a 32-beam LIDAR; two GNSS receivers; and two IMUs,mixed,SLAM,24,0,2025-02-27
MatSynth,MatSynth: A Modern PBR Materials Dataset,2024,CVPR,Physically Based Rendering (PBR) materials dataset designed for modern AI applications,other,Image Generation; SVBRDF Estimation,4,0,2025-02-27
Matterport3D,Matterport3D: Learning from RGB-D Data in Indoor Environments,2017,3DV,large RGB-D dataset for scene understanding in indoor environments,indoor,Semantic Segmentation; Depth Estimation; Monocular Depth Estimation: NeWCRFs; Depth Completion; Depth Prediction,438,5,2025-02-27
MatterportLayout,Manhattan Room Layout Reconstruction from a Single 360 image: A Comparative Study of State-of-the-art Methods,2021,IJCV,MatterportLayout extends the Matterport3D dataset with general Manhattan layout annotations,indoor,Semantic Segmentation,5,0,2025-02-27
Milan Cathedral, A hierarchical machine learning approach for multi-level and multi-resolution 3D point cloud classification,2020, Remote Sens.,heritage scenario; features a large amount of 3D points; a great diversity of geometries and styles; a richness in decoration and a lack in the regularity of the architectural elements,mixed,point cloud classification,n/A,n/A,2025-02-27
MINOS,MINOS: Multimodal Indoor Simulator for Navigation in Complex Environments,2017,arXiv,MINOS is a simulator designed to support the development of multisensory models for goal-directed navigation in complex indoor environments. MINOS leverages large datasets of complex 3D environments and supports flexible configuration of multimodal sensor suites.,indoor,Object Detection; Visual Navigation; Vision and Language Navigation,22,0,2025-02-27
ModelNet,3D ShapeNets: A Deep Representation for Volumetric Shapes,2015,CVPR,dataset contains synthetic object point clouds; large-scale object dataset of 3D computer graphics CAD models; they compiled a list of the most common object categories in the world; using the statistics obtained from the SUN database,other,(Few-Shot / Zero-Shot) 3D Point Cloud Classification; 3D Object Classification; 3D Object Recognition; 3D Point Cloud Data Augmentation; 3D Object Retrieval; 3D Point Cloud Linear Classification; Generative 3D Object Classification…,1353,18,2025-02-27
ModelNet40-C,Benchmarking Robustness of 3D Point Cloud Recognition Against Common Corruptions,2022,ICLR,comprehensive dataset to benchmark the corruption robustness of 3D point cloud recognition -> ModelNet40 + corruption,other,3D Point Cloud Classification; 3D Classification; 3D Point Cloud Data Augmentation;  Few-Shot Point Cloud Classification; Robust Classification; Classify 3D Point Clouds,31,3,2025-02-27
Mono3DRefer,Mono3DVG: 3D Visual Grounding in Monocular Images,2023,AAAI,3D visual grounding in monocular RGB images using descriptions with appearance and geometry information,outdoor,(Monocular) 3D Object Detection; (3D) Visual Grounding; Mono3DVG,2,1,2025-02-27
MS2 / Multi-Spectral Stereo Dataset,Deep Depth Estimation From Thermal Image,2023,CVPR,multi-spectral stereo (MS2) outdoor dataset; including stereo RGB; stereo NIR; stereo thermal; stereo LiDAR data; and GPS/IMU information,outdoor,Depth Estimation; Visual Odometry; Depth Completion; Thermal Image Segmentation; Stereo Depth Estimation; Depth Prediction,0,0,2025-02-27
MSRC-12,Instructing people for training gestural interactive systems,2012,CHI,"The Microsoft Research Cambridge-12 Kinect gesture data set consists of sequences of human movements, represented as body-part locations, and the associated gesture to be recognized by the system",other,Skeleton- Based Action Recognition; Gesture Recognition,31,2,2025-02-27
Multifog KITTI,3D Object Detection with SLS-Fusion Network in Foggy Weather Conditions,2021,Sensors ,Augmented KITTI dataset with fog for both camera and LiDAR sensors with different visibility ranges from 20 to 80 meters to best match realistic fog environment,outdoor,3D Object Detection; Autonomous Driving,0,0,2025-02-27
MultiScan,MultiScan: Scalable RGBD scanning for 3D environments with articulated objects,2022,NeurIPS,calable RGBD dataset construction pipeline leveraging commodity mobile devices to scan indoor scenes with articulated objects and web-based semantic annotation interfaces to efficiently annotate object and part semantics and part mobility parameters,indoor,3D Object Detection; 3D Instance Segmentation,3,1,2025-02-27
MUSES ,MUSES: The Multi-Sensor Semantic Perception Dataset for Driving under Uncertainty,2024,arXiv,multi-modal scenes; evenly distributed across various combinations of weather conditions (clear; fog; rain; and snow) and types of illumination (daytime; nighttime),outdoor,(2D) Object Detection; (2D) Semantic Segmentation; (2D) Panoptic Segmentation,11,1,2025-02-27
MVP,Variational Relational Point Completion Network,2021,CVPR,multi-view partial point cloud dataset (MVP) ,other,Point Cloud Completion,33,0,2025-02-27
MVTEC 3D-AD ,The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization,2021,VISAPP,comprehensive 3D dataset for the task of unsupervised anomaly detection and localization,other,Anomaly Detection; (RGB+) 3D Anomaly Detection and Segmentation; Depth Anomaly Detection and Segmentation,31,4,2025-02-27
NCLT ,University of Michigan North Campus long-term vision and lidar dataset,2015,IJRR,large scale; long-term autonomy dataset for robotics research collected on the University of Michigan’s North Campus; dataset consists of omnidirectional imagery; 3D lidar; planar lidar; GPS; and proprioceptive sensors for odometry collected using a Segway robot,outdoor,Pose Estimation; Visual Place Recognition; Visual Localization,114,0,2025-02-27
NERDS 360 ,NeO 360: Neural Fields for Sparse View Synthesis of Outdoor Scenes,2023,ICCV,large-scale dataset for 3D urban scene understanding,outdoor,Semantic Segmentation; Instance Segmentation; Depth Etimation; Novel View Synthesis; 6D Pose Estimation; Generalizable Novel View Synthesis,5,1,2025-02-27
New College,The New College Vision and Laser Data Set,2009,IJRR,freely available dataset collected from a robot completing several loops outdoors around the New College campus in Oxford; odometry; laser scan; and visual information,outdoor,Visual Odometry; Loop Closure Detection; Simultaneous Localization and Mapping,17,0,2025-02-27
Newer College,The Newer College Dataset: Handheld LiDAR; Inertial and Vision with Ground Truth,2020,IROS,dataset with a variety of mobile mapping sensors collected using a handheld device carried at typical walking speeds for nearly 2.2 km through New College; Oxford,outdoor,Vision-based Navigation; Visual and LiDAR SLAM; 3D LiDAR Reconstruction; Appearance-based Place Recognition,62,0,2025-02-27
NL-Drive,NeuralPCI: Spatio-temporal Neural Field for 3D Point Cloud Multi-frame Non-linear Interpolation,2023,CVPR,multi-frame interpolation dataset for autonomous driving scenarios; dataset contains point cloud sequences with large nonlinear movements from three public large-scale autonomous driving datasets: KITTI; Argoverse and Nuscenes,outdoor,3D Point Cloud Interpolation,2,1,2025-02-27
nuScenes,nuScenes: A multimodal dataset for autonomous driving,2020,CVPR,large-scale autonomous driving dataset,outdoor,(3D) Object Detection; Instance Segmentation; (3D) Semantic Segmentation; Trajectory Prediction; 3D Multi-Obejct Tracking; Weather Forecasting; Trajectory Planing; Motion Detection; …,1952,22,2025-02-27
nuScenes-C,Robo3D: Towards Robust and Reliable 3D Perception against Corruptions,2023,ICCV,nuScenes + simulated physically-principled corruptions on the val set; corruptions: 1) Severe weather conditions: fog; rain; snow -> back-scattering; attenuation; reflections; 2) External disturbances: bumpy surfaces; dust; insects... -> motion blur; LiDAR beam missing issues; 3) Internal sensor failure: incomplete echo; miss detection of instances with a dark color (e.g.; black car); crosstalk among multiple sensors -> deteriorates the 3D perception accuracy,outdoor,(Robust) 3D Object Detection; (Robust) 3D Semantic Segmentation; Robust Camera Only 3D Object Detection,30,3,2025-02-27
NYUv2,Indoor Segmentation and Support Inference from RGBD Images,2012,ECCV,The NYU-Depth V2 data set is comprised of video sequences from a variety of indoor scenes as recorded by both the RGB and Depth cameras from the Microsoft Kinect,indoor,Semantic Segmentation; Instance Segmentation; 3D Object Detection; Depth Estimation; Panoptic Segmentation; Scene Segmentation; Multi-Task Learning; Depth Completion; Surface Normals Estimation; 3D Semantic Scne Completion; …,951,20,2025-02-27
OASIS,OASIS: A Large-Scale Dataset for Single Image 3D in the Wild,2020,CVPR,dataset for single-image 3D in the wild,other,Depth Estimation; Medical Image Classification; Medical Image Registration,26,3,2025-02-27
Objaverse,Objaverse: A Universe of Annotated 3D Objects,2023,CVPR,large dataset of objects with 800K+ (and growing) 3D models with descriptive captions; tags; and animations,other,Zero-Shot 3D Classification; Generative 3D Object Classification; 3D Object Captioning,318,3,2025-02-27
Objaverse-XL,Objaverse-XL: A Universe of 10M+ 3D Objects,2023,NeurIPS,extensive dataset containing over 10 million 3D objects (12x larger than Objaverse),other,Zero-Shot 3D Classification; Generative 3D Object Classification; 3D Object Captioning,30,0,2025-02-27
ObjectFolder,OBJECTFOLDER: A Dataset of Objects with Implicit Visual; Auditory; and Tactile Representations,2021,CoRL,dataset for multisensory object-centric perception; reasoning; and interaction,other,Instance recognition; cross-sensory retrieval; 3D reconstruction; robotic grasping,12,0,2025-02-27
ObjectNet3D,ObjectNet3D: A Large Scale Database for 3D Object Recognition,2016,ECCV,large scale database for 3D object recognition,other,Region Proposal Generation; 2D Object Detection; Joint 2D Detection and 3D Object Pose Estimation; Image-Based 3D Shape Retrieval,2,0,2025-02-27
OccludedPASCAL3D+,Robust Object Detection under Occlusion with Context-Aware CompositionalNets,2020,CVPR,dataset is designed to evaluate the robustness to occlusion for a number of computer vision tasks; such as object detection; keypoint detection and pose estimation,outdoor,Object Detection; Keypoint Detection; Pose Estimation,7,0,2025-02-27
OCTScenes,OCTScenes: A Versatile Real-World Dataset of Tabletop Scenes for Object-Centric Learning,2023,arXiv,They propose a versatile real-world dataset of tabletop scenes for object-centric learning; which is meticulously designed to serve as a benchmark for comparing; evaluating; and analyzing object-centric learning methods,other,Object-Centric Learning,1,0,2025-02-27
OMMO,A Large-Scale Outdoor Multi-modal Dataset and Benchmark for Novel View Synthesis and Implicit Scene Reconstruction,2023,ICCV,benchmark for several outdoor NeRF-based tasks; such as novel view synthesis; surface reconstruction; and multi-modal NeRF; contains complex objects and scenes with calibrated images; point clouds and prompt annotations,outdoor,Novel View Synthesis; Surface Reconstruction,6,0,2025-02-27
OmniObject3D,OmniObject3D: Large-Vocabulary 3D Object Dataset for Realistic Perception; Reconstruction and Generation,2023,CVPR,large vocabulary 3D object dataset with massive high-quality real-scanned 3D objects,other,Novel View Synthesis; Zero-shot 3D Point Cloud Classification; Surface Reconstruction; Zero-shot 3D Classification; 3D Geometry Perception,58,2,2025-02-27
ONCE,One Million Scenes for Autonomous Driving: ONCE Dataset,2021,NeurIPS,dataset for 3D object detection in the autonomous driving scenario,outdoor,3D Object Detection,79,1,2025-02-27
OPD,OPD: Single-view 3D Openable Part Detection,2022,ECCV ,predicting what parts of an object can open and how they move when they do so; A) OPDSynth: they selected objects with openable parts from an existing dataset of articulated 3D models PartNet-Mobility; B) OPDReal: they  reconstructed 3D polygonal meshes for articulated objects in real indoor environments and annotate their parts and articulation information,other,Openable Part Detection; Instance Segmentation,1,0,2025-02-27
OpenTrench3D,OpenTrench3D: A Photogrammetric 3D Point Cloud Dataset for Semantic Segmentation of Underground Utilities,2024,CVPR,publicly available point cloud dataset of underground utilities from open trenches,other,3D Semantic Segmentation,3,1,2025-02-27
OPV2V,OPV2V: An Open Benchmark Dataset and Fusion Pipeline for Perception with Vehicle-to-Vehicle Communication,2022,ICRA,large-scale open simulated dataset for Vehicle-to-Vehicle perception,outdoor,(Monocular) 3D Object Detection,70,2,2025-02-27
Points2Surf,Points2Surf Learning Implicit Surfaces from Point Clouds,2020,ECCV,method that turns point clouds into meshes; consists of objects from the ABC Dataset; a collection of Famous meshes and objects from Thingi10k,other,Surface Reconstruction,4,0,2025-02-27
PackIt,PackIt: A Virtual Environment for Geometric Planning,2020,ICML,virtual environment to evaluate and potentially learn the ability to do geometric planning; where an agent needs to take a sequence of actions to pack a set of objects into a box with limited space,other, General Reinforcement Learning; Robot Task Planning; Decision Making,3,1,2025-02-27
PandaSet,PandaSet: Advanced Sensor Suite Dataset for Autonomous Driving,2021,ITSC,dataset produced by a complete; high-precision autonomous vehicle sensor kit with a no-cost commercial license; dataset was collected using one 360x360 mechanical spinning LiDAR; one forward-facing; long-range LiDRAR; and 6 cameras,outdoor,3D Object Detection; Autonomous Driving,48,0,2025-02-27
Pano3D,Pano3D: A Holistic Benchmark and a Solid Baseline for 360o Depth Estimation,2021,CVPRW,benchmark for depth estimation from spherical panoramas,indoor,Domain Adaption; Depth Estimation; Out-of-Distribution Detection; 3D Reconstruction; Surface Normals Estimation; 3D Depth Estimation; Zero-Shot Learning+Domain Generalization; Zero-Shot Out-of-Domain Detection,2,0,2025-02-27
PanoContext,PanoContext: A Whole-Room 3D Context Model for Panoramic Scene Understanding,2014,ECCV,A Whole-Room 3D Context Model for Panoramic Scene Understanding,indoor,3D Room Layouts From A Single RGB Panorama,42,1,2025-02-27
Panoptic nuScenes,Panoptic nuScenes: A Large-Scale Benchmark for LiDAR Panoptic Segmentation and Tracking,2021,RA-L,benchmark dataset that extends the popular nuScenes dataset with point-wise groundtruth annotations for semantic segmentation; panoptic segmentation; and panoptic tracking tasks,outdoor,Panoptic Segmentation,6,0,2025-02-27
PARIS,PARIS: Part-level Reconstruction and Motion Analysis for Articulated Objects,2023,ICCV,PARIS = PArt-level Reconstruction and motion analysIS for articulated objects; Synthetic dataset,other,3D Shape Modeling,15,1,2025-02-27
Paris-Lille 3D,Paris-Lille-3D: a large and high-quality ground truth urban point cloud dataset for automatic segmentation and classification,2018,IJRR,Dataset and a Benchmark on Point Cloud Classification,outdoor,Semantic Segmentation; Few-Shot Learning; 3D Semantic Segmentation; LIDAR Semantic Segmentation,14,1,2025-02-27
PartNet,PartNet: A Large-scale Benchmark for Fine-grained and Hierarchical Part-level 3D Object Understanding,2019,CVPR,consistent; large-scale dataset of 3D objects annotated with fine-grained; instance-level; and hierarchical 3D part information,other,(3D) Semantic Segmentation; (3D) Instance Segmentation,148,3,2025-02-27
PartNet-Mobility,SAPIEN: A SimulAted Part-based Interactive ENvironment,2020,CVPR,Dataset produced for the SAPIEN (SimulAted Part-based Interactive Environment) simulation environment; large-scale 3D interactive model datase,other,3D Pose Estimation; 3D Shape Modeling; 3D Feature Matching; Articulated Object Modelling,75,0,2025-02-27
PASCAL3D+,Beyond PASCAL: A benchmark for 3D object detection in the wild,2014,WACV,multi-view dataset consists of images in the wild,mixed,Object Detection; Pose Estimation; Keypoint Detection; Viewpoint Estimation,236,1,2025-02-27
PedX,PedX: Benchmark Dataset for Metric 3D Pose Estimation of Pedestrians in Complex Urban Intersections,2019,RA-L,large-scale multi-modal collection of pedestrians at complex urban intersections,outdoor,(3D) Pose Estimation; Autonomous Driving,5,0,2025-02-27
PhotoShape,PhotoShape: Photorealistic Materials for Large-Scale Shape Collections,2018,TOG,dataset consists of photorealistic; relightable; 3D shapes produced by the work proposed in the work of Park et al. (2021); 3 types of datasets used: shape; photo; and texture collections; focus on chairs,indoor,Novel View Synthesis,21,1,2025-02-27
Pix3D,Pix3D: Dataset and Methods for Single-Image 3D Shape Modeling,2018,CVPR,large-scale benchmark of diverse image-shape pairs with pixel-level 2D-3D alignment; wide applications in shape-related tasks including reconstruction; retrieval; viewpoint estimation; etc.,mixed,Pose Estimation; 3D Shape Reconstruction; 3D Shape Modelling; 3D Shape Classification,140,5,2025-02-27
PointDenoisingBenchmark,POINTCLEANNET: Learning to Denoise and Remove Outliers from Dense Point Clouds,2019,CGF,data-driven method for removing outliers and reducing noise in unordered point clouds,other,Outliers Removal; Denoising,1,0,2025-02-27
PointCloud-C,Benchmarking and Analyzing Point Cloud Classification under Corruptions,2022,PMLR,test-suite for point cloud robustness analysis under corruptions,other,Point Cloud Classification; Point Cloud Segmentation,22,2,2025-02-27
PolyU-BPCoMa ,PolyU-BPCoMa: A dataset and benchmark towards mobile colorized mapping using a backpack multisensorial system,2022,Int. J. Appl. Earth Obs. Geoinf.,A Dataset and Benchmark Towards Mobile Colorized Mapping Using a Backpack Multisensorial System,outdoor,Simultaneous Localization and Mapping,1,0,2025-02-27
Pomposa Abbey, A hierarchical machine learning approach for multi-level and multi-resolution 3D point cloud classification,2020, Remote Sens.,heritage scenario; features a large amount of 3D points; a great diversity of geometries and styles; a richness in decoration and a lack in the regularity of the architectural elements,mixed,point cloud classification,n/A,n/A,2025-02-27
PreSIL,Precise Synthetic Image and LiDAR (PreSIL) Dataset for Autonomous Vehicle Perception,2019,IV,dataset for autonomous vehicle perception; precise LiDAR simulator within GTA V which collides with detailed models for all entities no matter the type or position,outdoor,(3D) Object Detection;  Autonomous Vehicles,13,0,2025-02-27
R2R ,Vision-and-Language Navigation: Interpreting visually-grounded navigation instructions in real environments,2018,CVPR,dataset for visually-grounded natural language navigation in real buildings. The dataset requires autonomous agents to follow human-generated navigation instructions in previously unseen buildings,indoor,Visual Navigation; Vision-Language Navigation,162,2,2025-02-27
RadarScenes,RadarScenes: A Real-World Radar Point Cloud Data Set for Automotive Applications,2021,FUSION,real-world radar point cloud dataset for automotive applications,outdoor,Autonomous Vehicles,26,0,2025-02-27
RADIATE ,RADIATE: A Radar Dataset for Automotive Perception in Bad Weather,2020,ICRA,automotive dataset created by Heriot-Watt University which includes Radar; Lidar; Stereo Camera and GPS/IMU,outdoor,(2D) Object Detection; Scene Understanding; Multiple Object Tracking,24,2,2025-02-27
RCooper ,RCooper: A Real-world Large-scale Dataset for Roadside Cooperative Perception,2024,CVPR,real-world; large-scale Roadside Cooperative Perception Dataset for practical applications,outdoor,3D Object Detection; 3D Object Tracking,6,0,2025-02-27
Real 3D-AD ,Real3D-AD: A Dataset of Point Cloud Anomaly Detection,2023,NeurIPS,point cloud anomaly detection dataset for industrial products,other,Anomaly Detection; 3D Anomaly Detection ,7,2,2025-02-27
ReferIt3D,ReferIt3D: Neural Listeners for Fine-Grained 3D Object Identification in Real-World Scenes,2020,ECCV,Neural Listeners for Fine-Grained 3D Object Identification in Real-World Scenes,indoor,3D visual grounding; 3D dense captioning,60,0,2025-02-27
Rel3D,Rel3D: A Minimally Contrastive Benchmark for Grounding Spatial Relations in 3D,2020,NeurIPS,large-scale; human-annotated dataset for grounding spatial relations (e.g.; “laptop on table”) in 3D,other,Spatial Relation Recognition,6,1,2025-02-27
Rent3D,Rent3D: Floor-Plan Priors for Monocular Layout Estimation,2015,CVPR,The goal of this work is to enable a 3D ``virtual-tour'' of an apartment given a small set of monocular images of different rooms; as well as a 2D floor plan,indoor,Semantic Segmentation; 3D Room Layouts From A Single RGB Panorama; Room Layout Estimation,5,0,2025-02-27
Replica,The Replica Dataset: A Digital Replica of Indoor Spaces,2019,arXiv,dataset of high quality reconstructions of a variety of indoor spaces,indoor,Semantic Segmentation; Image Generation; Domain Adaption; Visual Navigation; Scene Generation; 3D Open-Vocabulary Instance Segmentation; Efficient Exploration,373,4,2025-02-27
RobotriX,The RobotriX: An eXtremely Photorealistic and Very-Large-Scale Indoor Dataset of Sequences with Robot Trajectories and Interactions,2019,IROS,Photorealistic synthetic indoor dataset designed to enable the application of deep learning techniques to a wide variety of robotic vision problems,indoor,Semantic Segmentation; Robotic Grasping; 3D Scene Reconstruction,1,0,2025-02-27
Robo-VLN ,Hierarchical Cross-Modal Agent for Robiotics Vision-and-Language Navigation,2021,ICRA,continuous control formulation of the VLN-CE dataset by Krantz et al ported over from Room-to-Room (R2R) dataset created by Anderson et al.,indoor,Vision and Language Navigation,2,1,2025-02-27
Robot@Home2,Robot@Home; a robotic dataset for semantic mapping of home environments,2017,IJRR,collection of raw and processed sensory data from domestic settings aimed at serving as a benchmark for semantic mapping algorithms through the categorization of objects and/or rooms -> relational database that states the contextual information and data links; compatible with Standard Query Language (+ Python package for managing the database + learning resources in the form of Jupyter notebooks),indoor,Semantic Mapping,1,0,2025-02-27
RoomR ,Visual Room Rearrangement,2021,CVPR,The task of Room Rearrangement consists on an agent exploring a room and recording objects' initial configurations. The agent is removed and the poses and states (e.g.; open/closed) of some objects in the room are changed. The agent must restore the initial configurations of all objects in the room.,indoor,Room Rearrangement,10,0,2025-02-27
RTMV,RTMV: A Ray-Traced Multi-View Synthetic Dataset for Novel View Synthesis,2022,ECCV,A Ray-Traced Multi-View Synthetic Dataset for Novel View Synthesis,other,Novel View Synthesis,14,1,2025-02-27
RxR ,Room-Across-Room: Multilingual Vision-and-Language Navigation with Dense Spatiotemporal Grounding,2020,EMNLP,multilingual dataset for Vision-and-Language Navigation (VLN) for Matterport3D environments,indoor,Vision and Language Navigation,53,1,2025-02-27
S.MID ,SFPNet: Sparse Focal Point Network for Semantic Segmentation on General LiDAR Point Clouds,2024,arXiv,dataset designed to advance the field of LiDAR semantic segmentation; specifically for robotic applications and large-scale industrial scene; dataset is based on a hybrid-solid LiDAR (Livox Mid-360),outdoor,LIDAR Semantic Segmentation,1,0,2025-02-27
S3DIS ,3D Semantic Parsing of Large-Scale Indoor Spaces,2016,CVPR,new dataset of several buildings with a covered area of over 6; 000m2 and over 215 million points,indoor,(3D) Semantic Segmentation; 3D Object Detection; (3D) Panoptic Segmentation; 3D Instance Segmentation; Few-shot 3D Point Cloud Semantic Segmentation,472,10,2025-02-27
S3E,S3E: A Mulit-Robot Multimodal Dataset for Collaborative SLAM,2022,arXiv,large-scale multimodal dataset captured by a fleet of unmanned ground vehicles along four designed collaborative trajectory paradigms,outdoor,Simultaneous Localization and Mapping,2,0,2025-02-27
Scan2CAD,Scan2CAD: Learning CAD Model Alignment in RGB-D Scans,2019,CVPR,data-driven method that learns to align clean 3D CAD models from a shape database to the noisy and incomplete geometry of an RGBD scan,indoor,3D Reconstruction,70,1,2025-02-27
SCAND ,Socially CompliAnt Navigation Dataset (SCAND): A Large-Scale Dataset Of Demonstrations For Social Navigation,2022,RA-L,large-scale; first-person-view dataset of socially compliant navigation demonstrations,mixed,Social Navigation,15,0,2025-02-27
ScanEnts3D ,ScanEnts3D: Exploiting Phrase-to-3D-Object Correspondences for Improved Visio-Linguistic Models in 3D Scenes,2024,WACV,connecting natural language to real-world 3D scenes; extension of ScanRefer and ReferIt3D,indoor,neural listening; language generation,1,0,2025-02-27
ScanNet,ScanNet: Richly-annotated 3D Reconstructions of Indoor Scenes,2017,CVPR, instance-level indoor RGB-D dataset that includes both 2D and 3D data,indoor,Semantic Segmentation; 3D Object Detection; Depth Estimation; Panoptic Segmentation; 3D Reconstruction; Scene Segmentation; Scene Recognition; 3D Instance Segemtnation; 3D Point Cloud Classification; 3D Semantic Instance Segementation…,1476,22,2025-02-27
ScanNet++,ScanNet++: A High-Fidelity Dataset of 3D Indoor Scenes,2023,ICCV,large scale dataset with 450+ 3D indoor scenes containing sub-millimeter resolution laser scans; registered 33-megapixel DSLR images; and commodity RGB-D streams from iPhone,indoor,3D Semantic Segmentation,12,2,2025-02-27
ScanNet200,Language-Grounded Indoor 3D Semantic Segmentation in the Wild,2022,ECCV,The ScanNet200 benchmark studies 200-class 3D semantic segmentation; The source of scene data is identical to ScanNet; but parses a larger vocabulary for semantic and instance segmentation,indoor,3D Semantic Segmentation; 3D Instance Segmentation; 3D Open-Vocabulary Instance Segmentation,39,3,2025-02-27
ScanNet V2,ScanNet: Richly-annotated 3D Reconstructions of Indoor Scenes,2018,arXiv, instance-level indoor RGB-D dataset that includes both 2D and 3D data; ScanNet v2 = newest version of ScanNet,indoor,Semantic Segmentation; 3D Object Detection; Depth Estimation; Panoptic Segmentation; 3D Reconstruction; Scene Segmentation; Scene Recognition; 3D Instance Segemtnation; 3D Point Cloud Classification; 3D Semantic Instance Segementation…,1476,22,2025-02-27
ScanObjectNN,Revisiting Point Cloud Classification: A New Benchmark Dataset and Classification Model on Real-World Data,2019,ICCV,Benchmark Dataset and Classification Model on Real-World Data,other, 3D Point Cloud Classification; Zero-Shot  3D Point Cloud Classification;  3D Point Cloud Data Augmentation…,319,10,2025-02-27
ScanRefer,ScanRefer: 3D Object Localization in RGB-D Scans using Natural Language,2020,ECCV,task of 3D object localization in RGB-D scans using natural language descriptions; input: point cloud of a scanned 3D scene along with a free-form description of a specified target object; ScanRefer to address this task,mixed,Object Detection; Object Localization; Sentence Embeddings,54,0,2025-02-27
SceneNet,SceneNet: Understanding Real World Indoor Scenes With Synthetic Data,2016,CVPR,dataset of labelled synthetic indoor scenes,indoor,Object Detection; Semantic Segmentation; Scene Understanding; 3D Reconstruction; Single-View 3D Reconstruction; Surface Reconstruction,17,0,2025-02-27
SceneNN,SceneNN: a Scene Meshes Dataset with aNNotations,2016,3DV,RGB-D scene dataset consisting of more than 100 indoor scenes,indoor, 3D Instance Segmentation,61,1,2025-02-27
