Dataset,Paper Title,Year,Publisher,Paper Link,Project Link,Description,Size & Content,Indoor/Outdoor,Real/Synthetic,Modalities,No. Classes,Tasks,No. Papers,No. Benchmarks,Column1,checked?
DOLPHINS,DOLPHINS: Dataset for Collaborative Perception enabled Harmonious and Interconnected Self-driving,2022,ACCV,https://arxiv.org/pdf/2207.07609v1,https//dolphins-dataset.net,DOLPHINS = Dataset for cOllaborative Perception enabled Harmonious and INterconnected Self-driving; new simulated large-scale various-scenario multi-view multi-modality autonomous driving dataset; which provides a ground-breaking benchmark platform for interconnected autonomous driving,6 typical scenarios with dynamic weather conditions; 42376 frames and 292549 objects; as well as the corresponding 3D annotations; geo-positions; and calibrations; Full-HD images and 64-line LiDARs construct high-resolution data with sufficient details; well-organized APIs and open-source codes,outdoor,synthetic,CARLA simulator; LiDAR and an RGB camera,0,2D / 3D Object Detection; Object Tracking; Multiview Detection,7,0,,c
DOORS (Dataset fOr bOuldeRs Segmentation),DOORS: Dataset fOr bOuldeRs Segmentation. Statistical properties and Blender setup,2022,arXiv,https://arxiv.org/pdf/2210.16253v1,https//zenodo.org/records/7107409#.Y20Ja-z7RhE,dataset designed for boulders recognition; centroid regression; segmentation; and navigation applications,2 sets: A) Regression -> Contains images; masks; and labels for 4 splits of single boulders positioned on the surface of a spherical mesh; B) Segmentation: Contain images; masks; and labels of 2 datasets: DS1 and DS2. DS1 is made of the same images of the Regression dataset but is specifically designed for segmentation. DS2 is made of images with multiple instances of boulders appearing on the surface of the Didymos asteroid model,other,synthetic,Blender models,0,Semantic Segmentation; 3D Object Recognition,3,0,,c
DrivAerNet,DrivAerNet: A Parametric Car Dataset for Data-Driven Aerodynamic Design and Graph-Based Drag Prediction,2024,arXiv,https://arxiv.org/pdf/2403.08055v1,https//hub.com/Mohamedelrefaie/DrivAerNet,large-scale; high-fidelity CFD dataset of 3D industry-standard car shapes designed for data-driven aerodynamic design,4000 high-quality 3D car meshes and their corresponding aerodynamic performance coefficients; alongside full 3D flow field information,other,synthetic,Modeling,0,Graph Regression; Physical Simulations; 3D Shape Modeling; 3D Geometric Prediction; Parameter Prediction; Physics-infomred machine learning; PDE Surrogate Modeling,3,1,,c
DublinCity,DublinCity: Annotated LiDAR Point Cloud and its Applications,2019,arXiv,https://arxiv.org/pdf/1909.03613v1,https//v-sense.scss.tcd.ie/dublincity/,benchmark dataset that includes a manually annotated point cloud for over 260 million laser scanning points into 100'000 (approx.) assets from Dublin LiDAR point cloud in 2015,manually annotated point cloud for over 260 million laser scanning points into 100000 (approx.) assets from Dublin LiDAR point cloud; Objects are labelled into 13 classes using hierarchical levels of detail from large (i.e.; building; vegetation and ground) to refined (i.e.; window; door and tree) elements,outdoor,real,LiDAR point cloud + RGB images,13,Scene Understanding; 3D Reconstruction; Visual Localization,15,0,,c
DurLAR,DurLAR: A High-fidelity 128-channel LiDAR Dataset with Panoramic Ambient and Reflectivity Imagery for Multi-modal Autonomous Driving Applications,2021,3DV,https://arxiv.org/pdf/2406.10068,https//hub.com/l1997i/DurLAR,high-fidelity 128-channel 3D LiDAR dataset with panoramic ambient (near infrared) and reflectivity imagery for multi-modal autonomous driving applications,LiDAR with 128 channels; 5 folders with a total of 145911 frames,outdoor,real,Ouster OS1-128 LiDAR sensor; Carnegie Robotics MultiSense S21 stereo camera (RGB); GNSS/INS (OxTS RT3000v3); Yocto Light V3 Lux Meter,0,Depth Estimation; Autonomous Driving; 3D Depth Estimation,5,0,,c
ECLAIR (Extended Classification of Lidar for AI Recognition),ECLAIR: A High-Fidelity Aerial LiDAR Dataset for Semantic Segmentation,2024,CVPR,https://arxiv.org/pdf/2404.10699v1,https//hub.com/SharperShape/eclair-dataset,outdoor large-scale aerial LiDAR dataset designed specifically for advancing research in point cloud semantic segmentation,total area of 10km2 with close to 600 million points; eleven distinct object categories (Ground; Vegetation; Buildings; Noise; Transmission Wired; Distribution Wires; Poles; Transmission Towers; Fence; Vehicle; Unassinged),outdoor,real,aerial LiDAR,11,3D Semantic Segmentation,1,1,,c
EgoBody,EgoBody: Human Body Shape and Motion of Interacting People from Head-Mounted Devices,2022,ECCV,https://arxiv.org/pdf/2112.07642v3,https//sanweiliti.hub.io/egobody/egobody.html,large-scale dataset for egocentric 3D human pose; shape and motions under interactions in complex 3D scenes,"125 sequences from 36 subjects (18 male and 18 female) performing diverse social interactions in 15 indoor scenes;  219731 synchronized frames captured from Azure Kinects; Microsoft  HoloLens2 headset for capturing multi-modal egocentric data (RGB, depth, head, hand and eye gaze tracking streams)",indoor,real,HoloLens2 headset (RGB; depth; tracking streams),0,3D Human Pose and Shape Estimation,28,1,,c
EHE (Elderly Home Exercise),Skeleton-based human action evaluation using graph convolutional network for monitoring Alzheimer’s progression,2021,Pattern Recognit.,https://www.sciencedirect.com/science/article/abs/pii/S003132032100282X,https//hub.com/bruceyo/egcnplusplus/tree/main/EHE_dataset,Human Action Evaluation (HAE) has rarely been applied to real-world disease monitoring; EHE consists of several actions from morning exercises that patients complete daily in the elderly home,869 action repetitions performed by 25 older people; Six exercises were collected for the EHE dataset via Kinect v2,indoor,real,Kinect v2 ,0,Action Assessment,2,1,,c
EQA (Embodied Question Answering),Embodied Question Answering,2018,CVPR,https://arxiv.org/pdf/1711.11543v2,https//embodiedqa.org/data,dataset of visual questions and answers grounded in House3D based on 3D indoor scenes from the SUNCG dataset,"EQA v1 dataset consists of over 5000 question across over 750 environments; referring to a total of 45 unique objects in 7 unique room types; 3 decoding heads that predict 1) original RGB values, 2) semantic class (segmentation is done over 191 classes), and 3) depth for each pixel (range [0,1]",indoor,synthetic,EmbodiedQA is instantiated in House3D -> sourced from SUNCG -> scenes are manually created using Planner5D,191,Embodied Question Answering,74,0,,c
ETH,Depth and Appearance for Mobile Scene Analysis,2007,ICCV,https://ieeexplore.ieee.org/document/4409092,https//data.vision.ee.ethz.ch/cvl/aess/dataset/,dataset for pedestrian detection,1804 images in three video clips; captured from a stereo rig mounted on car; with a resolution of 640 x 480 (bayered); and a framerate of 13--14 FPS,outdoor,real,stereo (RGB) cameras,1,Object Detection; Person Re-Identification; Trajectory Prediction; Pedestrian Detection; Multi-Future Trajectory Prediction,58,5,,c
EuRoC MAV,The EuRoC micro aerial vehicle datasets,2016,IJRR,https://journals.sagepub.com/doi/full/10.1177/0278364915620033?casa_token=o6MzyEPgGq0AAAAA%3AJnQ2Yus_i5_QbBuN7r93Qyw7Hy3q9Ts4PG4830rZFYKoSjaT2ZyXf106ANu_w6aBzlQeLOF1OdRT,https//projects.asl.ethz.ch/datasets/doku.php?id=kmavvisualinertialdatasets,Visual-inertial datasets collected on-board a Micro Aerial Vehicle (MAV),"contains stereo images; synchronized IMU measurements; and accurate motion and structure ground-truth; 2 types of datasets: 1) first batch of datasets was recorded in a large machine hall and aims at testing visual-inertial motion estimation algorithms or SLAM frameworks; for ground truth; a 3D position was provided by a laser tracker; 2) second batch of datasets was recorded in our Vicon room equipped with a motion capture system; For these datasets; additional reference point clouds are available that enable the assessment of multi-view reconstruction approaches; AscTec Firefly MAV, equipped with a visual-inertial sensor unit for data collection",indoor,real,MT9V034 (RGB) Cameras; ADUS16448 IMU; Leica MS50 laser tracker; Vicon motion capture system,0,Visual Odometry ,13,1,,c
EviLOG (Evidential Lidar Occupancy Grid Mapping),A Simulation-based End-to-End Learning Framework for Evidential Occupancy Grid Mapping*,2021,IV,https://arxiv.org/pdf/2102.12718v3,https//hub.com/ika-rwth-aachen/EviLOG#data,The dataset contains synthetic training-validation-test data for occupancy grid mapping from lidar point clouds,10 scenarios; each containing random variations of the dynamic environment; With each scenario; 1000 training samples were created = 10000 training samples in total; 1000 samples for validation; classification into free and occupied (and unknown),outdoor,synthetic,deep learning-based inverse lidar model is created using a simula- tion environment,0,Prediction of Occupancy Grid Maps,1,0,,c
(MPI) FAUST,FAUST: Dataset and Evaluation for 3D Mesh Registration,2014,CVPR,https://files.is.tue.mpg.de/black/papers/FAUST2014.pdf,https//faust-leaderboard.is.tuebingen.mpg.de,novel mesh registration technique that combines 3D shape and appearance information to produce high-quality alignments,"Contains 300 scans of 10 people in a wide range of poses together with an evaluation methodology;  acquisition system is a full-body 3D stereo capture
system (3dMD; Atlanta; GA); composed by 22 scanning units; each unit contains a pair of stereo cameras for 3D shape computation; one or two speckle projectors; a single 5MP RGB camera.",other,real,22 scanning units -> 1 pair of stereo cameras; 1-2 speckle projectors; 1 5MP RGB camera,0,Gaussian Processes; Superpixel Image Classification,13,0,,c
FAUST-partial / FPv1,Addressing the generalization of 3D registration methods with a featureless baseline and an unbiased benchmark,2024,Mach. Vis. Appl.,https://link.springer.com/article/10.1007/s00138-024-01510-w,SourceCodehub.com/DavidBoja/exhaustive-grid-search,3D registration benchmark dataset created to provide a more informative evaluation of 3D registration methods,based on the FAUST dataset; with several difficulty levels; benchmark is created using the FAUST training dataset comprised of 100 3D scans of human bodies; For a given scan from the FAUST dataset: translate its minimal bounding box point to the origin; surround the scan with a regular icosahedron; use icosahedron as a viewpoint used to creade a partial scan using the hidden point removal algorithm,other,real,based on the FAUST dataset -> stereo cameras; speckle projectors; RGB camera,0,Point Cloud Registration,5,9,,c
FEE Corridor,Self-Supervised Depth Correction of Lidar Measurements from Map Consistency Loss,2023,RA-L,https://arxiv.org/pdf/2303.01123v4,http//ptak.felk.cvut.cz/vras/data/fee_corridor/,The data set contains point cloud data captured in an indoor environment with precise localization and ground truth mapping information,2 ”stop-and-go” data sequences are provided of a robot with mounted Ouster OS0-128 lidar; lidar poses are recorded with the theodolite Leica TS15 tracker; point clouds recorded with the Leica BLK360 scanner are provided as mapping ground-truth data;  8 sub-sequences  each containing 50 consecutive scans (from 102 to 151) and corresponding lidar poses. From ,indoor,real,Ouster OS1-128 lidar;  Leica BLK360 scanner ground truth map,0,3D Geometry Perception,1,0,,c
Fishyscapes,The Fishyscapes Benchmark: Measuring Blind Spots in Semantic Segmentation,2019,IJCV,https://arxiv.org/pdf/1904.03215v4,https//fishyscapes.com,public benchmark for uncertainty estimation in a real-world task of semantic segmentation for urban driving,(i) FS Static is based on the validation set of Cityscapes; (ii) FS Web -> images from Cityscapes are overlayed with objects that are regularly crawled from the web in an open-world setup; (iii) Fishyscapes Lost & Found -> builds up on a road hazard dataset collected with the same setup as Cityscapes + supplemented with labels; blending-based reference dataset FS Static (based on the validation set of Cityscapes);  dynamically changing dataset FS Web; Anomalous objects are extracted from the generic Pascal VOC; overlay objects from classes that cannot be found in Cityscapes (aeroplane; bird; boat; bottle; cat; chair; cow; dog; horse; sheep; sofa; tvmonitor);  pixel-wise annotations that distinguish between objects (the 12 anomalies) - background (30 classes contained in Cityscapes) - void (anything not contained in Cityscapes classes that still appears in the training images); public validation set of 100 images and a testset of 275 images,outdoor,synthetic,based on data from Cityscapes (RGB); objects from Pascal VOC (RGB),43,Anomaly Detection,47,2,,c
Five-Billion-Pixels,Enabling Country-Scale Land Cover Mapping with Meter-Resolution Satellite Imagery,2022,ISPRS,https://arxiv.org/pdf/2209.00727v2,https//x-ytong.hub.io/project/Five-Billion-Pixels.html,large-scale land cover dataset,more than 5 billion labeled pixels of 150 high-resolution Gaofen-2 (4 m) satellite images; annotated in a 24-category system (covering artificial-constructed agricultural; natural classes); GF-2 satellite equipped with two panchromatic and multispectral (PMS) sensors; combined swath of 45 km; effective spatial resolution of the sensors is 1 m panchromatic (pan)/4 m multispectral (MS),outdoor,real,Gaofen-2 satellite -> 2 panchromatic + multispectral (PMS) sensors,24,Semantic Segmentation; (Unsupervised) Domain Adaption; (Semantic) Segmentation of Remote Sensing Imagery,3,0,,c
Flickr30K,From image descriptions to visual denotations: New similarity metrics for semantic inference over event descriptions,2014,TACL,https://aclanthology.org/Q14-1006.pdf,https//shannon.cs.illinois.edu/DenotationGraph/,using the visual denotations of linguistic expressions (i.e. the set of images they describe) to define novel denotational similarity metrics,"31783 photographs of everyday activities-events-scenes
(all harvested from Flickr); 158915 captions obtained via crowdsourcing",mixed,real,(RGB) images collected from Flickr,0,Node Classification; Image Retrieval; Image Captioning; Cross-Modal Retrieval; Image-to-Text Retrieval…,839,10,,c
Flickr30K Entities,Flickr30k Entities: Collecting Region-to-Phrase Correspondences for Richer Image-to-Sentence Models,2015,ICCV,https://arxiv.org/pdf/1505.04870v4,https//bryanplummer.com/Flickr30kEntities/,extension to the Flickr30K dataset; used to define a new benchmark for localization of textual entity mentions in an image,"extension to the Flickr30K dataset; it augments the original 158k captions with 244k coreference chains; linking mentions of the same entities across different captions for the same image; and associating them with 276k manually annotated bounding boxes; we define Object Categories as the set of unique phrases after
filtering out non-nouns in our annotated phrases ",mixed,real,(RGB) images collected from Flickr,"44,518",Phrase Grounding,141,2,,c
Foggy Cityscapes,Semantic Foggy Scene Understanding with Synthetic Data,2018,IJCV,https://arxiv.org/pdf/1708.07819v3,https//people.ee.ethz.ch/~csakarid/SFSU_synthetic/,synthetic foggy dataset which simulates fog on real scenes,"(i) Foggy Cityscapes: derived from Cityscapes dataset ->  refined set of 550 images; 498 from the training set and 52 from the validation set; annotations for 8 classes (person; rider; car; truck; bus; train; motorcycle and bicycle); (ii) Foggy Driving: 101 color images depicting real-world foggy driving scenes -> they captured 51 of these images with a cell phone camera in foggy conditions at various areas of Zurich; the rest 50 images were carefully collected from the web; dense, pixel-level semantic annotations for all images of Foggy Driving -> the 19 semantic classes of Cityscapes (road; sidewalk;
building; wall; fence; pole; traffic light; traffic sign; vegetation; terrain; sky; person; rider; car; train;
motorcycle; bicycle) + labels for individual
instances (person; rider; car; truck; bus; train; motorcycle and bicycle)",outdoor,synthetic,(RGB) images from Cityscapes; (RGB) phone images,19,Object Detection; Domain Adaption; Image-to-Image Translation; Foggy Scene Segmentation,239,6,,c
Foggy KITTI,MonoWAD: Weather-Adaptive Diffusion Model for Robust Monocular 3D Object Detection,2024,ECCV,https://arxiv.org/pdf/2407.16448v1,https//hub.com/VisualAIKHU/MonoWAD,"The Foggy KITTI dataset extends the KITTI dataset to include challenging weather conditions, aiming to support research in real-world applications such as autonomous driving.",they generate foggy images from all images in the KITTI dataset (called foggy KITTI); that emulate the foggy scene; 3712 training images and 3769 validation images; detection of the car category,outdoor,synthetic,based on KITTI dataset (RGB images),1,Object Detection; Autonomous Driving,1,0,,c
FOR-instance,FOR-instance: a UAV laser scanning benchmark dataset for semantic and instance segmentation of individual trees,2023,arXiv,https://arxiv.org/pdf/2309.01279v1,https//zenodo.org/records/8287792,accurately segmenting individual trees from laser scanning data,forest laser scanning point clouds from unamnned aerial vehicle (using Riegl sensors) that are manually segmented according to the individual trees (1130 trees) and semantic classes; The point clouds are subdivided into five data collections representing different forests (in Norway; the Czech Republic; Austria; New Zealand; Australia); UAV-LS data were acquired with two sensors: the Riegl VUX-1UAV and the Riegl MiniVUX-1 UAV; data were fully annotated into single trees (i.e. instance annotation) and different parts of the trees and the forest (i.e. semantic annotation -> 0 Unclassified; 1 Low-vegetation; 2 Terrain; 3 Out-points; 4 Stem; 5 Live branches; 6 Woody branches) using CloudCompare,outdoor,real,2 sensors (LiDAR): Riegl VUX-1UAV; Riegl MiniVUX-1 UAV ,6,3D Semantic Segmentation; 3D Instance Segmentation,7,0,,c
Ford Campus Vision and Lidar Data Set,Ford Campus vision and lidar data set,2011,IJRR,https://journals.sagepub.com/doi/10.1177/0278364911400640,https//robots.engin.umich.edu/Main/Login,dataset collected by an autonomous ground vehicle testbed,autonomous ground vehicle testbed based upon a modified Ford F-250 pickup truck (outfitted with a professional (Applanix POS-LV) and consumer (Xsens MTi-G) inertial measurement unit; a Velodyne three-dimensional lidar scanner; two push-broom forward-looking Riegl lidars; a Point Grey Ladybug3 omnidirectional camera system); time-registered data from these sensors mounted on the vehicle; number of points per scan is typically 80000–100000,outdoor,real,Applanix POS-LV and Xsens MTi-G inertial measurement unit; 1 Velodyne 3D lidar scanner; 2 push-broom forward-looking Riegl lidars; 1 Point Grey Ladybug3 omnidirectional camera system (RGB),0,Computer Vision; Simultaneous Localization and Mapping,3,0,,c
FPL (First-Person Locomotion),Future Person Localization in First-Person Videos,2018,CVPR,https://openaccess.thecvf.com/content_cvpr_2018/papers/Yagi_Future_Person_Localization_CVPR_2018_paper.pdf,https//hub.com/takumayagi/fpl,Supports new task that predicts future locations of people observed in first-person videos,about 4.5 hours of first-person videos recorded by people wearing a chest-mounted camera and walking around in diverse environments; number of observed people is more than 5000 in total; categorized according the walking direction (Toward; Away; Across),outdoor,real,wearable camera (RGB),0,Trajectory Prediction; Motion Forecasting; Trajectory Forecasting,7,0,,c
Freiburg Campus 3D Scan,Multimodal Interaction-aware Motion Prediction for Autonomous Street Crossing,2020,IJRR,http://ais.informatik.uni-freiburg.de/publications/papers/wurm10octomap.pdf,http//ais.informatik.uni-freiburg.de/projects/datasets/octomap/,The Freiburg Campus 3D Scan dataset consists of 3D area maps from the Freiburg campus, scanned with 3D lasers; Areas: corridors; outdoor campus; some of the colleges and buildings; A) small-scale indoor -> 3.5 x 5.2 x 1.7 m^3; B) corridor 079 at Freiburg campus (FR-079) -> 66 scans; 43.8 x 18.2 x 3.3 m^3; C)Freiburg outdoor -> 81 dense 3D scans covering an area of 292 m × 167 m x 28m,outdoor,real,SICK LMS laser range scanner,0,Robot mapping; navigation; and mobile manipulation,0,0,,c
Freiburg Spatial Relations,Metric Learning for Generalizing Spatial Relations to New Objects,2017,IROS,https://arxiv.org/pdf/1703.01946v3,http//spatialrelations.cs.uni-freiburg.de,Their approach enables a robot to reason about the similarity between pairwise spatial relations; thereby enabling it to use its previous knowledge when presented with a new relation to imitate,546 scenes each containing two out of 26 household objects; we recorded 3D models of 26 household objects and used SimTrack to detect them and compute their poses in a scene using a Kinect camera,indoor,real,Kinect camera (RGB-D),26,Metric Learning,2,0,,c
Freiburg Street Crossing,Multimodal Interaction-aware Motion Prediction for Autonomous Street Crossing,2018,IJRR,https://arxiv.org/pdf/1808.06887v5,http//aisdatasets.informatik.uni-freiburg.de/streetcrossing/,dataset consists of data collected from three different street crossings in Freiburg; Germany; ; two of which were traffic light regulated intersections and one a zebra crossing without traffic lights; The data can be used to train agents to cross roads autonomously.,data was captured over the course of two weeks and it is divided into 10 different sequences containing approximately over 2000 tracked objects; Each object is identified by a unique track ID; spatial coordinates; velocity and orientation angle; tracking traffic light states (Red; Green; Off),outdoor,real,"(RGB) images, LIDAR as well as RADAR data",,Motion Prediction,1,0,,c
Fusion 360 Gallery,Fusion 360 Gallery: A Dataset and Environment for Programmatic CAD Construction from Human Design Sequences,2021,TOG,https://arxiv.org/pdf/2010.02392v2,https//hub.com/AutodeskAILab/Fusion360GalleryDataset,Dataset contains rich 2D and 3D geometry data derived from parametric CAD models,8625 designs produced by users of the CAD software Autodesk Fusion 360 and submitted to the publicly available Autodesk Online Gallery,other,synthetic,models produced with the CAD software Autodesk,0,B-Rep face segmentation,19,2,,c
FutureHouse,PhyIR: Physics-Based Inverse Rendering for Panoramic Indoor Images,2022,CVPR,https://openaccess.thecvf.com//content/CVPR2022/papers/Li_PhyIR_Physics-Based_Inverse_Rendering_for_Panoramic_Indoor_Images_CVPR_2022_paper.pdf,https//yodlee.top/PhyIR/,large-scale synthetic photorealistic panoramic dataset,over 70000 high-quality models with high-resolution meshes and physical material (measured in real world standards); Selected scene layouts are carefully designed by over 100 excellent artists; 28579 panoramic views from 1752 house-scale scenes; geometric + material + lighting + light source  annotation,indoor,synthetic,manually designed CAD models and scenes; rendered in Unreal Engine 4,0,Depth Estimation; Surface Normal Estimation; Instrinsic Image Decomposition; Neural Rendering,3,0,,c
G-VUE (General-purpose Visual Understanding Evaluation),Perceive; Ground; Reason; and Act: A Benchmark for General-purpose Visual Representation,2022,arXiv,https://arxiv.org/pdf/2211.15402v1,https//hub.com/wllmzhu/G-VUE,comprehensive benchmark covering the full spectrum of visual cognitive abilities with four functional domains -- Perceive; Ground; Reason; and Act,The four domains are embodied in 11 carefully curated tasks; from 3D reconstruction to visual reasoning and manipulation; visual tasks and datasets are selected for each domain: Perceive (NYUv2; CL & 7-scenes; ShapeNetCore); Ground (Flickr30K; RefCOCO; ADE20k); Reason (GQA; VCR; Bongard-HOI); Act (R2R; Ravens); Semantic segmentation task: ADE20K + corresponding train/test split from the MIT Scene Segmentation Benchmark -> 150 categories of stuff (e.g. sky) and discrete objects (e.g. car) with their corresponding semantic masks on each image,mixed,mixed,RGB-D images; 3D models from databases,150,Semantic Segmentation; Question Answering; Depth Estimation; Common Sense Reasoning; 3D Reconstruction; Visual Reasoning; Phrase Grounding; Navigate,2,0,,c
Gibson Database / Gibson Environment ,Gibson Env: Real-World Perception for Embodied Agents,2018,CVPR,https://openaccess.thecvf.com/content_cvpr_2018/papers/Xia_Gibson_Env_Real-World_CVPR_2018_paper.pdf,http//gibsonenv.stanford.edu,Gibson is an opensource perceptual and physics simulator to explore active and real-world perception,virtual reconstruction of real-world data; 572 full buildings composed of 1447 floors covering a total area of 211 km^2; (for each space: 3D reconstruction; RGB images; depth; surface normal); for a fraction of the spaces: semantic object annotations; The spaces in Gibson database are collected using various scanning devices (incl.NavVis; Matterport; DotProduct) covering a diverse set of spaces (e.g. offices; garages; stadiums; grocery stores; gyms; hospitals; houses); All spaces are fully reconstructed in 3D and post processed to fill the holes and enhance the mesh,indoor,other,RGB-D cameras,0,Self-Supervised Learning; Robot Navigation; Hierarchical Reinforcement Learning,22,0,,c
GQA,GQA: A New Dataset for Real-World Visual Reasoning and Compositional Question Answering,2019,CVPR,https://arxiv.org/pdf/1902.09506v3,https//cs.stanford.edu/people/dorarad/gqa/,large-scale visual question answering dataset with real images from the Visual Genome dataset and balanced question-answer pairs,"113K images and 22M multi-step questions that require a diverse set of reasoning skills; with both binary and open questions (they leveraged Visual Genome scene graph structures to create questions); clean-consolidated-unambiguous ontology over the graph with 2690 classes including various objects, attributes and relations",mixed,real,based on Visual Genome -> RGB images + questions,2690,Visual Question Answering (VQA); Graph Question Answering,643,6,,c
GQA-REX,REX: Reasoning-aware and Grounded Explanation,2022,CVPR,https://arxiv.org/pdf/2203.06107v1,https//hub.com/szzexpoi/rex,A GQA-based dataset with 1040830 multi-modal explanations of visual reasoning processes,GQA + 1040830 multi-modal explanations of visual reasoning processes (#XAI); 1660 unique types of object categories,mixed,real,based on GQA -> RGB images + questions + explanations,1660,Explanatory Visual Question Answering,8,1,,c
GSO (Google Scanned Objects),Google Scanned Objects: A High-Quality Dataset of 3D Scanned Household Items,2022,ICRA,https://arxiv.org/pdf/2204.11918v1,https//app.gazebosim.org/GoogleResearch/fuel/collections/Scanned%20Objects%20by%20Google%20Research,dataset of common household objects that have been 3D scanned for use in robotic simulation and synthetic perception research,1030 scanned objects from 17 categories + associated metadata; totalling 13Gb; licensed under the CCBY 4.0 License; Visual meshes are in Wavefront OBJ format averaging 1.4MB (min: 0.1MB; max: 11.1MB) per model; The accompanying diffuse texture maps are in PNG format; and average 11.2MB (min: 6.5MB ; max: 23.5MB) per texture; The lighting-controlled physical enclosure captures 3D geometry using structured light scanning with two machine vision cameras and a projector and captures textures with product-friendly lighting with a separate DSLR high-resolution camera,other,real,structured light scanning; 2 machine vision cameras; 1 projector; DSLR high-resolution camera (textures),17,Simulation; Single-View 3D Reconstruction,91,1,,c
gRefCOCO,GRES: Generalized Referring Expression Segmentation,2023,CVPR,https://openaccess.thecvf.com/content/CVPR2023/papers/Liu_GRES_Generalized_Referring_Expression_Segmentation_CVPR_2023_paper.pdf,https//henghuiding.hub.io/GRES/,large-scale Generalized Referring Expression Segmentation dataset that contains multi-target; no-target; and single-target expressions,"278232 expressions; including 80022 multi-target and 32202 no-target expressions; referring to 60287 distinct instances in 19994 images; Masks and
bounding boxes for all target instances are given; The basic annotation procedure follows ReferIt to ensure the annotation quality",mixed,real,RGB images + natural language expressions,0,Generalized Referring Expression Segmentation; Generalized Referring Expression Comprehension,30,2,,c
GTA5 (Grand Theft Auto 5),Playing for Data: Ground Truth from Computer Games,2016,ECCV,https://arxiv.org/pdf/1608.02192v1,,use of commercial video games for creating large-scale pixel-accurate ground truth data for training semantic segmentation systems,24966 synthetic images with pixel level semantic annotation; The images have been rendered using the open-world video game Grand Theft Auto 5 and are all from the car perspective in the streets of American-style virtual cities; There are 19 semantic classes which are compatible with the ones of Cityscapes dataset,outdoor,synthetic,(RGB) images rendered using GTA 5,19,Semantic Segmentation; Domain Adaption; Image-to-Image Translation; Domain Adaption; Synthetic-to-real Translation…,405,8,,c
H3D (Honda Research Institute 3D),The H3D Dataset for Full-Surround 3D Multi-Object Detection and Tracking in Crowded Urban Scenes,2019,ICRA,https://arxiv.org/pdf/1903.01568v1,https//usa.honda-ri.com/H3D,large scale full-surround 3D multi-object detection and tracking dataset; gathered from HDD dataset; a large scale naturalistic driving dataset collected in San Francisco Bay Area,Full 360 degree LiDAR dataset (dense pointcloud from Velodyne-64); 160 crowded and highly interactive traffic scenes; 1;071;302 3D bounding box labels; 8 common classes of traffic participants (Manually annotated every 2Hz and linearly propagated for 10 Hz data),outdoor,real,,,(3D) Object Detection; Autonomous Driving,37,1,,
HANDAL,HANDAL: A Dataset of Real-World Manipulable Object Categories with Pose Annotations; Affordances; and Reconstructions,2023,IROS,https://arxiv.org/pdf/2308.01477v1,https//nvlabs.hub.io/HANDAL/,dataset for category-level object pose estimation and affordance prediction,308k annotated image frames from 2.2k videos of 212 real-world objects in 17 categories;  focus on hardware and kitchen tool objects,indoor,real,,,Object Pose Estimation,4,0,,
Headcam,Unsupervised Learning of Depth and Ego-Motion from Cylindrical Panoramic Video,2019,AIVR,https://arxiv.org/pdf/1901.00979v2,https//hub.com/jonathanventura/cylindricalsfmlearner,panoramic video captured from a helmet-mounted camera while riding a bike through suburban Northern Virginia,footage was first stitched into equirectangular panoramic video using the Samsung Gear 360 software; It was then broken into frames at 5fps; warped into a cylindrical projection model; resized to 512 × 128; and formatted into three-frame sequences; The final formatted dataset contains 27;538 frames; Training was conducted on 90% of the data; qualitative testing was done on the remaining 10%,outdoor,real,,,Depth Estimation; Motion Estimation,2,0,,
Heavy Snowfall (DENSE),Seeing Through Fog Without Seeing Fog: Deep Multimodal Sensor Fusion in Unseen Adverse Weather,2020,CVPR,https://arxiv.org/pdf/1902.08913v3,https//www.uni-ulm.de/en/in/driveu/projects/dense-datasets#c811669,object detection dataset in challenging adverse weather conditions,12000 samples in real-world driving scenes; 1500 samples in controlled weather conditions within a fog chamber; different weather conditions (like fog; snow; rain); acquired by over 10;000 km of driving in northern Europe; 100k objects were labeled with 2D / 3D bounding boxes,outdoor,real,RGB cameras (2 OnSemi AR0230 imagers); NIR camera ( BrightwayVision BrightEye); (FMCW) radar; LiDAR (Velodyne HDL64 S3D and VLP32C); Q1922 FIR camera; environmental sensors (Airmar WX150 weather station),0,(3D) Object Detection ,4,1,,c
HePIC,Fully Automated Scan-to-BIM via Point Cloud Instance Segmentation,2023,ICIP,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10222064,https//hub.com/LTTM/Scan-to-BIM,Heritage Pointcloud Instance Collection dataset; acquired from two large buildings and annotated at a point-wise semantic level based on existent BIM models,two large buildings: a Castle and a Church;  91 (68 + 23) rooms; each composed of 100k points with both semantic and instance labels; automatically assigned by comparing the point cloud with the BIM model obtained from it; Eight classes were considered: walls; floors; roofs; doors; windows; beams; columns; stairs; Any point not belonging to one of these classes was marked as unassigned,outdoor,real,,,(3D) Semantic Segmentation; (3D) Instance Segmentation,1,0,,
